index,lesser,greater
15,CommonStockSharesOutstanding,CommonStockSharesAuthorized
19,PreferredStockSharesOutstanding,PreferredStockSharesIssued
21,CommonStockSharesIssued,CommonStockSharesAuthorized
22,PreferredStockSharesIssued,PreferredStockSharesAuthorized
23,PreferredStockSharesOutstanding,PreferredStockSharesAuthorized
24,CommonStockSharesOutstanding,CommonStockSharesIssued
39,DefinedBenefitPlanPlansWithBenefitObligationsInExcessOfPlanAssetsAggregateBenefitObligation,DefinedBenefitPlanBenefitObligation
40,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation,DefinedBenefitPlanAccumulatedBenefitObligation
41,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets,DefinedBenefitPlanFairValueOfPlanAssets
42,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation,DefinedBenefitPlanBenefitObligation
45,DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,DefinedBenefitPlanExpectedContributionsInCurrentFiscalYear
46,DefinedBenefitPlanAccumulatedBenefitObligation,DefinedBenefitPlanBenefitObligation
47,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries,UndistributedEarningsOfForeignSubsidiaries
