extension,qname
afghanistanmember,country:AF
alabamamember,stpr:AL
alaskamember,stpr:AK
albaniamember,country:AL
algeriamember,country:DZ
americansamoamember,country:AS
andorramember,country:AD
angolamember,country:AO
anguillamember,country:AI
antarcticamember,country:AQ
antiguaandbarbudamember,country:AG
argentinamember,country:AR
arizonamember,stpr:AZ
arkansasmember,stpr:AR
armeniamember,country:AM
arubamember,country:AW
australiamember,country:AU
austriamember,country:AT
azerbaijanmember,country:AZ
bahamasmember,country:BS
bahrainmember,country:BH
bangladeshmember,country:BD
barbadosmember,country:BB
belarusmember,country:BY
belgiummember,country:BE
belizemember,country:BZ
beninmember,country:BJ
bermudamember,country:BM
bhutanmember,country:BT
boliviamember,country:BO
bosniaandherzegowinamember,country:BA
botswanamember,country:BW
bouvetislandmember,country:BV
brazilmember,country:BR
britishvirginislandsmember,country:VG
bruneidarussalammember,country:BN
bulgariamember,country:BG
burkinafasomember,country:BF
burundimember,country:BI
californiamember,stpr:CA
cambodiamember,country:KH
cameroonmember,country:CM
canadamember,country:CA
canadianmember,country:CA
capeverdemember,country:CV
caymanislandsmember,country:KY
centralafricanrepublicmember,country:CF
chadmember,country:TD
chilemember,country:CL
chinamember,country:CN
christmasislandmember,country:CX
cocosislandsmember,country:CC
colombiamember,country:CO
coloradomember,stpr:CO
comorosmember,country:KM
congomember,country:CD
congorepublicofmember,country:CG
connecticutmember,stpr:CT
cookislandsmember,country:CK
costaricamember,country:CR
cotedivoiremember,country:CI
croatiamember,country:HR
cubamember,country:CU
cyprusmember,country:CY
czechrepublicmember,country:CZ
delawaremember,stpr:DE
denmarkmember,country:DK
districtofcolumbiamember,stpr:DC
djiboutimember,country:DJ
dominicamember,country:DM
dominicanrepublicmember,country:DO
ecuadormember,country:EC
egyptmember,country:EG
elsalvadormember,country:SV
equatorialguineamember,country:GQ
eritreamember,country:ER
estoniamember,country:EE
ethiopiamember,country:ET
falklandislandsmember,country:FK
faroeislandsmember,country:FO
fijimember,country:FJ
finlandmember,country:FI
floridamember,stpr:FL
francemember,country:FR
frenchguianamember,country:GF
frenchpolynesiamember,country:PF
gabonmember,country:GA
gambiamember,country:GM
georgiamember,stpr:GA
georgiamember,country:GE
germanymember,country:DE
ghanamember,country:GH
gibraltarmember,country:GI
greecemember,country:GR
greenlandmember,country:GL
grenadamember,country:GD
guadeloupemember,country:GP
guammember,country:GU
guatemalamember,country:GT
guineamember,country:GN
guyanamember,country:GY
haitimember,country:HT
hawaiimember,stpr:HI
heardandmcdonaldislandsmember,country:HM
hondurasmember,country:HN
hongkongmember,country:HK
hungarymember,country:HU
icelandmember,country:IS
idahomember,stpr:ID
illinoismember,stpr:IL
indiamember,country:IN
indianamember,stpr:IN
indonesiamember,country:ID
iowamember,stpr:IA
iranmember,country:IR
iraqmember,country:IQ
irelandmember,country:IE
israelmember,country:IL
italymember,country:IT
jamaicamember,country:JM
japanmember,country:JP
jordanmember,country:JO
kansasmember,stpr:KS
kazakhstanmember,country:KZ
kentuckymember,stpr:KY
kenyamember,country:KE
kiribatimember,country:KI
koreamember,country:KP
kuwaitmember,country:KW
kyrgyzstanmember,country:KG
laomember,country:LA
latviamember,country:LV
lebanonmember,country:LB
lesothomember,country:LS
liberiamember,country:LR
libyanarabjamahiriyamember,country:LY
liechtensteinmember,country:LI
