focus_element,child
DepreciationDepletionAndAmortization,AccretionAmortizationOfDiscountsAndPremiumsInvestments
DepreciationDepletionAndAmortization,AmortizationOfDebtDiscountPremium
DepreciationDepletionAndAmortization,AmortizationOfFinancingCosts
DepreciationDepletionAndAmortization,AmortizationOfFinancingCostsAndDiscounts
DepreciationDepletionAndAmortization,AmortizationOfIntangibleAssets
DepreciationDepletionAndAmortization,DeferredPolicyAcquisitionCostAmortizationExpense
DepreciationDepletionAndAmortization,DeferredSalesInducementsAmortizationExpense
DepreciationDepletionAndAmortization,AmortizationOfValueOfBusinessAcquiredVOBA
DepreciationDepletionAndAmortization,AmortizationOfDeferredLoanOriginationFeesNet
DepreciationDepletionAndAmortization,AmortizationOfMortgageServicingRightsMSRs
DepreciationDepletionAndAmortization,AmortizationOfAcquisitionCosts
DepreciationDepletionAndAmortization,AmortizationOfDeferredSalesCommissions
DepreciationDepletionAndAmortization,FinanceLeaseRightOfUseAssetAmortization
DepreciationDepletionAndAmortization,AmortizationOfPowerContractsEmissionCredits
DepreciationDepletionAndAmortization,AmortizationOfNuclearFuelLease
DepreciationDepletionAndAmortization,AmortizationOfRegulatoryAsset
DepreciationDepletionAndAmortization,AmortizationOfAdvanceRoyalty
DepreciationDepletionAndAmortization,AmortizationOfDeferredPropertyTaxes
DepreciationDepletionAndAmortization,AmortizationOfRateDeferral
DepreciationDepletionAndAmortization,AmortizationOfDeferredHedgeGains
DepreciationDepletionAndAmortization,OtherAmortizationOfDeferredCharges
DepreciationDepletionAndAmortization,AmortizationAndDepreciationOfDecontaminatingAndDecommissioningAssets
OperatingExpenses,GainLossOnDispositionOfAssets
OperatingExpenses,GainLossOnDispositionOfAssets1
OperatingExpenses,GainLossOnDispositionOfIntangibleAssets
OperatingExpenses,GainLossOnSaleOfBusiness
OperatingExpenses,GainLossOnSaleOfOilAndGasProperty
OperatingExpenses,GainLossOnSaleOfProperty
OperatingExpenses,GainLossOnSaleOfPropertyPlantEquipment
OperatingExpenses,GainLossRelatedToLitigationSettlement
OperatingExpenses,GainsLossesOnExtinguishmentOfDebt
OperatingExpenses,GainsLossesOnSalesOfAssets
OperatingExpenses,LitigationSettlementExpense
OperatingExpenses,RestructuringCharges
Revenues,InterestExpenseDebt
CashAndCashEquivalentsAtCarryingValue,CertificatesOfDepositAtCarryingValue
ProceedsFromIssuanceOfCommonStock, ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan
Revenues,GainLossOnSaleOfPropertyPlantEquipment
Revenues,GainsLossesOnExtinguishmentOfDebt
Revenues,GainsLossesOnSalesOfAssets
Revenues,GainLossOnSaleOfBusiness
Revenues,InterestExpense
LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities,OperatingLeaseLiability
LongTermDebtAndCapitalLeaseObligationsCurrent,OperatingLeaseLiabilityCurrent
LongTermDebtAndCapitalLeaseObligations,OperatingLeaseLiabilityNoncurrent
LongTermDebtCurrent,LinesOfCreditCurrent
LongTermDebtAndCapitalLeaseObligationsCurrent,LinesOfCreditCurrent
ShareBasedCompensation,EmployeeStockOwnershipPlanESOPCompensationExpense
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Amount
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017TransitionTaxOnAccumulatedForeignEarningsAmount
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Percent
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017TransitionTaxOnAccumulatedForeignEarningsPercent
OtherInvestments,OtherShortTermInvestments
Revenues,OtherOperatingIncome
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,OtherComprehensiveIncomeLossNetInvestmentHedgeGainLossBeforeReclassificationAndTax
