1,AccrualForEnvironmentalLossContingenciesUndiscountedDueInRemainderOfFiscalYear,AccrualForEnvironmentalLossContingenciesUndiscountedDueWithinOneYear,AccrualForEnvironmentalLossContingenciesUndiscountedDueInSecondYear
2,BelowMarketLeaseAmortizationIncomeRemainderOfFiscalYear,BelowMarketLeaseAmortizationIncomeNextTwelveMonths,BelowMarketLeaseAmortizationIncomeYearTwo
3,ContractualObligationFutureMinimumPaymentsDueRemainderOfFiscalYear,ContractualObligationDueInNextTwelveMonths,ContractualObligationDueInSecondYear
4,DefinedBenefitPlanExpectedFutureBenefitPaymentsRemainderOfFiscalYear,DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo
5,FinanceLeaseLiabilityPaymentsRemainderOfFiscalYear,FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,FinanceLeaseLiabilityPaymentsDueYearTwo
6,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo
7,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo
8,LessorOperatingLeasePaymentsToBeReceivedRemainderOfFiscalYear,LessorOperatingLeasePaymentsToBeReceivedNextTwelveMonths,LessorOperatingLeasePaymentsToBeReceivedTwoYears
9,LifeSettlementContractsFairValueMethodFaceValueMaturingInRemainderOfFiscalYear,LifeSettlementContractsFairValueMethodFaceValueMaturingInNextTwelveMonths,LifeSettlementContractsFairValueMethodFaceValueMaturingInYearTwo
10,LifeSettlementContractsFairValueMethodNumberOfContractsMaturingInRemainderOfFiscalYear,LifeSettlementContractsFairValueMethodNumberOfContractsMaturingInNextTwelveMonths,LifeSettlementContractsFairValueMethodNumberOfContractsMaturingInYearTwo
11,LifeSettlementContractsFairValueMaturingInRemainderOfFiscalYear,LifeSettlementContractsFairValueMaturingInNextTwelveMonths,LifeSettlementContractsFairValueMaturingInYearTwo
12,LifeSettlementContractsInvestmentMethodCarryingAmountMaturingInRemainderOfFiscalYear,LifeSettlementContractsInvestmentMethodCarryingAmountMaturingInNextTwelveMonths,LifeSettlementContractsInvestmentMethodCarryingAmountMaturingInYearTwo
13,LifeSettlementContractsInvestmentMethodFaceValueMaturingInRemainderOfFiscalYear,LifeSettlementContractsInvestmentMethodFaceValueMaturingInNextTwelveMonths,LifeSettlementContractsInvestmentMethodFaceValueMaturingInYearTwo
14,LifeSettlementContractsInvestmentMethodNumberOfContractsMaturingInRemainderOfFiscalYear,LifeSettlementContractsInvestmentMethodNumberOfContractsMaturingInNextTwelveMonths,LifeSettlementContractsInvestmentMethodNumberOfContractsMaturingInYearTwo
15,LifeSettlementContractsInvestmentMethodPremiumsToBePaidInRemainderOfFiscalYear,LifeSettlementContractsInvestmentMethodPremiumsToBePaidInNextTwelveMonths,LifeSettlementContractsInvestmentMethodPremiumsToBePaidInYearTwo
16,LossContingencyAccrualProductLiabilityDueInRemainderOfFiscalYear,LossContingencyAccrualProductLiabilityUndiscountedDueWithinOneYear,LossContingencyAccrualProductLiabilityUndiscountedDueInSecondYear
17,OtherCommitmentsFutureMinimumPaymentsRemainderOfFiscalYear,OtherCommitmentDueInNextTwelveMonths,OtherCommitmentDueInSecondYear
18,PresentValueOfFutureInsuranceProfitsAmortizationExpenseRemainderOfFiscalYear,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearOne,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearTwo
19,PurchaseObligationFutureMinimumPaymentsRemainderOfFiscalYear,PurchaseObligationDueInNextTwelveMonths,PurchaseObligationDueInSecondYear
20,RecordedUnconditionalPurchaseObligationDueInRemainderOfFiscalYear,RecordedUnconditionalPurchaseObligationDueWithinOneYear,RecordedUnconditionalPurchaseObligationDueInSecondYear
21,RetailLandSalesMaturityOfAccountsReceivableRemainderOfFiscalYear,RetailLandSalesMaturityOfAccountsReceivableYearOne,RetailLandSalesMaturityOfAccountsReceivableYearTwo
22,SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedRemainderOfFiscalYear,SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedNextTwelveMonths,SalesTypeAndDirectFinancingLeasesLeaseReceivablePaymentsToBeReceivedTwoYears
23,TimeDepositMaturitiesRemainderOfFiscalYear,TimeDepositMaturitiesYearOne,TimeDepositMaturitiesYearTwo
24,UnrecordedUnconditionalPurchaseObligationDueInRemainderOfFiscalYear,UnrecordedUnconditionalPurchaseObligationBalanceOnFirstAnniversary,UnrecordedUnconditionalPurchaseObligationBalanceOnSecondAnniversary
25,ConstructionContractorReceivableIncludingContractRetainageRemainderOfFiscalYear,ConstructionContractorReceivableIncludingContractRetainageYearOne,ConstructionContractorReceivableIncludingContractRetainageYearTwo
26,ConstructionContractorReceivableRetainageRemainderOfFiscalYear,ConstructionContractorReceivableRetainageYearOne,ConstructionContractorReceivableRetainageYearTwo
27,ContractReceivableDueInRemainderOfFiscalYear,ContractReceivableDueOneYearOrLess,ContractReceivableDueOneToTwoYears
28,ContractsReceivableClaimsAndUncertainAmountsExpectedToBeCollectedInRemainderOfFiscalYear,ContractsReceivableClaimsAndUncertainAmountsExpectedToBeCollectedInRemainderOfFiscalYear,ContractsReceivableClaimsAndUncertainAmountsExpectedToBeCollectedInRemainderOfFiscalYear
29,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo
30,AvailableForSaleSecuritiesDebtMaturitiesRemainderOfFiscalYearFairValue,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue
31,AvailableForSaleSecuritiesDebtMaturitiesRemainderOfFiscalYearAmortizedCostBasis,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost
32,HeldToMaturitySecuritiesDebtMaturitiesRemainderOfFiscalYearFairValue,HeldToMaturitySecuritiesDebtMaturitiesWithinOneYearFairValue,HeldToMaturitySecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue
33,FederalHomeLoanBankAdvancesMaturitiesSummaryDueInRemainderOfFiscalYear,FederalHomeLoanBankAdvancesMaturitiesSummaryDueWithinOneYearOfBalanceSheetDate,FederalHomeLoanBankAdvancesMaturitiesSummaryDueFromOneToTwoYearsOfBalanceSheetDate
34,FinancialGuaranteeInsuranceContractsFutureExpectedPremiumRevenueToBeRecognizedRemainderOfFiscalYear,FinancialGuaranteeInsuranceContractsFutureExpectedPremiumRevenueToBeRecognizedOneYearFromBalanceSheetDate,FinancialGuaranteeInsuranceContractsFutureExpectedPremiumRevenueToBeRecognizedMoreThanOneAndWithinTwoYearsFromBalanceSheetDate
