Rule_Number,LineItem,DimensionLineItem,Axis,Member,Weight
6820,AccumulatedOtherComprehensiveIncomeLossNetOfTax,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,AccumulatedOtherComprehensiveIncomeMember,1
6821,AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,AccumulatedDefinedBenefitPlansAdjustmentMember,1
6822,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,AccumulatedTranslationAdjustmentMember,1
6823,AccumulatedOtherComprehensiveIncomeLossNetOfTax,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,AccumulatedOtherComprehensiveIncomeMember,1
6824,CommonStockValue,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,CommonStockMember,1
6825,AdditionalPaidInCapital,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,AdditionalPaidInCapitalMember,1
6826,MinorityInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,NoncontrollingInterestMember,1
6827,TreasuryStockValue,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,TreasuryStockMember,-1
6828,RetainedEarningsAccumulatedDeficit,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,RetainedEarningsMember,1
6829,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,ParentMember,1
6830,RetainedEarningsUnappropriated,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StatementEquityComponentsAxis,RetainedEarningsUnappropriatedMember,1
6831,NetIncomeLoss,ProfitLoss,StatementEquityComponentsAxis,RetainedEarningsMember,1
6832,NetIncomeLoss,ProfitLoss,StatementEquityComponentsAxis,ParentMember,1
